課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Microsoft AI & ML Engineering,4.6 out of 5 stars,176 reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-ai-and-ml-engineering,,"Large Language Modeling, Applied Machine Learning, Infrastructure Architecture, Reinforcement Learning, Microsoft Azure, Unsupervised Learning, Supervised Learning, Prompt Engineering, Generative AI, Application Deployment, Natural Language Processing, Cloud Infrastructure",Foundations of AI and Machine Learning | AI and Machine Learning Algorithms and Techniques | Building Intelligent Troubleshooting Agents | Microsoft Azure for AI and Machine Learning | Advanced AI and Machine Learning Techniques and Capstone,
Google Business Intelligence,4.8 out of 5 stars,3.4K reviews,Advanced · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-business-intelligence,,"Database Design, Data Integration, SQL, Interviewing Skills, Applicant Tracking Systems, Tableau Software, Business Analytics, Professional Development, Business Intelligence, Dashboard, Data Modeling, Stakeholder Engagement","Foundations of Business Intelligence | The Path to Insights: Data Models and Pipelines | Decisions, Decisions: Dashboards and Reports | Accelerate Your Job Search with AI",
Creative Designing in Power BI,4.5 out of 5 stars,292 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/creative-designing-in-power-bi,4 modules,"Statistical Visualization, Power BI, Data Visualization Software, Data Visualization, Data Storytelling, Dashboard, Geospatial Mapping, Data Presentation, Creative Design, Data Analysis, Data Security, Interactive Data Visualization, Real Time Data",Visualization and Design | Designing Powerful Report Pages | Dashboard Design and Storytelling | Final project and assessment: Creative Design in Power BI,
Microsoft Excel VBA and Macros,4.5 out of 5 stars,177 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/microsoft-excel-vba-and-macros,1 module,"Strategic Decision-Making, Data Manipulation, Automation, Data Analysis, Excel Macros, Microsoft Excel, Visual Basic (Programming Language), Productivity Software",Microsoft Excel VBA and Macros,"Arkadi Avanesyan, Coursera Instructor Network"
Power Query Fundamentals,4.7 out of 5 stars,41 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/power-query-fundamentals,6 modules,"Data Import/Export, Microsoft Excel, Data Integration, Data Validation, Automation, Data Cleansing, Data Transformation, Pivot Tables And Charts, Extract, Transform, Load, Data Manipulation",Getting Started | Basic Transformations | Extracting Information | Consolidating Data | Dealing with Errors | Qualified Assessment,"CFI (Corporate Finance Institute), Corporate Finance Institute"
Work Smarter with Microsoft Excel,4.7 out of 5 stars,2.9K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/microsoft-excel-work-smarter,5 modules,"Data Management, Spreadsheet Software, Microsoft 365, Data Import/Export, File Management, Productivity Software, Data Visualization, Microsoft Excel, Data Analysis Expressions (DAX), Excel Formulas",Getting started with Excel | Working with functions | Organizing and visualizing data | Advanced Excel features | Honors: Hands-on practice using Microsoft Excel,
Introduction to Data Analysis using Microsoft Excel,4.7 out of 5 stars,4.1K reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/introduction-data-analysis-microsoft-excel,,"Data Analysis, Data Manipulation, Pivot Tables And Charts, Data Mining, Spreadsheet Software, Excel Formulas, Microsoft Excel",,"Paula Del Rey, Coursera Project Network"
Power BI & Power Virtual Agents,4.2 out of 5 stars,30 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/power-bi-and-power-virtual-agents,2 modules,"Performance Analysis, Data Integration, Microsoft Teams, Business Intelligence, Customer Engagement, Data Visualization, Data Security, Power BI, Microsoft Power Platform, Data Modeling, Data Analysis Software, Dashboard, Generative AI Agents",Power BI | Power Virtual Agents,
Microsoft Project Management,4.7 out of 5 stars,468 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-project-management,,"Project Closure, Project Management Institute (PMI) Methodology, Project Performance, Risk Analysis, Project Implementation, Project Risk Management, Planning, Communication, Stakeholder Communications, Team Building, Systems Thinking, Earned Value Management",Project Management Fundamentals | Team Building and Leadership in Project Management | Project Manager Engagement with Stakeholders | Process Groups and Processes in Project Management | PMP Formulas | Project Management Principles | Project Management Performance Domains | Agile and Hybrid Approaches in a Project Environment | PMP Application Process and Practice Exam,
Getting Started with Microsoft Excel,4.6 out of 5 stars,12K reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/introduction-microsoft-excel,,"Spreadsheet Software, Microsoft 365, Productivity Software, Microsoft Excel, Excel Formulas",,"Summer Scaggs, Coursera Project Network"
Data-Driven Decisions with Power BI,4.3 out of 5 stars,265 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/data-driven-decisions-with-power-bi,5 modules,"Power BI, Interactive Data Visualization, Data Import/Export, Data Modeling, Business Intelligence Software, Data Cleansing, Data Presentation, Data Analysis, Data-Driven Decision-Making, Data Transformation, Data Sharing, Data Management, Dashboard, Data Visualization Software",Week 1: Understand Power BI and Power BI Data Analysis | Week 2: Introduction to Modeling Data and Report Visualizations | Week 3: Navigate Reports and Visualizations | Week 4: Navigate the Power BI Service | Week 5: Final Review,"Keith Gibson, Knowledge Accelerators"
Copilot for Power BI,4.5 out of 5 stars,40 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/copilot-for-power-bi,1 module,"Microsoft Copilot, Artificial Intelligence, Prompt Engineering, Interactive Data Visualization, Generative AI, Data Storytelling, Power BI, Data Analysis Expressions (DAX), Business Intelligence, Data Analysis",Copilot for Power BI,
Microsoft PL-300 Exam Preparation and Practice,4.7 out of 5 stars,493 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/microsoft-pl-300-exam-preparation-and-practice,5 modules,"Data Transformation, Data Storytelling, Power BI, Data Security, Data Cleansing, Data Visualization Software, Microsoft Copilot, Data Modeling, Microsoft Power Platform, Data Analysis, Extract, Transform, Load, Microsoft Azure, Interactive Data Visualization",Preparing Data | Modeling Data | Visualize and analyze data | Deploy and maintain assets | Practice Exam,
Power BI for Beginners: Interactive Dashboard Fundamentals,4.7 out of 5 stars,11 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/power-bi-for-beginners-interactive-dashboard-fundamentals,,"Regional Sales, Business Metrics, Business Intelligence, Data Visualization Software, Dashboard, Data Visualization, Data Storytelling, Interactive Data Visualization, Data Import/Export, Data Presentation, Key Performance Indicators (KPIs), Performance Analysis, Power BI, Sales Presentation",,"Hussein ElGhoul, Coursera Project Network"
Data Visualization with Advanced Excel,4.8 out of 5 stars,3K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/advanced-excel,4 modules,"Data Analysis, Data Visualization, Data Storytelling, Data Visualization Software, Microsoft Excel, Excel Formulas, Data Modeling, Graphing, Data Presentation, Databases, Dashboard, Simulation and Simulation Software, Spreadsheet Software, Pivot Tables And Charts",Preparing a Professional Excel | Advanced Scenario Analysis | Data Visualization | Dashboarding,Alex Mannella
Work Smarter with Microsoft PowerPoint,4.7 out of 5 stars,1K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/microsoft-powerpoint-work-smarter,5 modules,"Microsoft Windows, Multimedia, File Management, Productivity Software, Editing, Presentations, Microsoft PowerPoint, Collaborative Software, Microsoft 365",Getting started with PowerPoint | Developing a presentation | Enhancing the appearance of a presentation | Preparing to deliver a presentation | Honours: Hands-on practice using Microsoft PowerPoint,
IBM Data Analyst,4.6 out of 5 stars,93K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-analyst,,"Matplotlib, SQL, Data Import/Export, Plotly, IBM Cognos Analytics, Generative AI, Excel Formulas, Data Storytelling, Exploratory Data Analysis, Dashboard, Professional Networking, Predictive Modeling","Introduction to Data Analytics | Excel Basics for Data Analysis | Data Visualization and Dashboards with Excel and Cognos | Python for Data Science, AI & Development | Python Project for Data Science | Databases and SQL for Data Science with Python | Data Analysis with Python | Data Visualization with Python | IBM Data Analyst Capstone Project | Generative AI: Enhance your Data Analytics Career | Data Analyst Career Guide and Interview Preparation","IBM Skills Network Team, Dr. Pooja, Abhishek Gagneja, Joseph Santarcangelo, Rav Ahuja, Saishruthi Swaminathan, Hima Vasudevan, Sandip Saha Joy, Azim Hirjani, Steve Ryan, Kevin McFaul, Ramesh Sannareddy"
Preparing  Data for Analysis with Microsoft Excel,4.7 out of 5 stars,4.6K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/preparing-data-for-analysis-with-microsoft-excel,4 modules,"Data Analysis, Spreadsheet Software, Data Manipulation, Data Management, Productivity Software, Microsoft Excel, Power BI, Data Cleansing, Excel Formulas",Excel fundamentals | Formulas and functions | Preparing data for analysis using functions | Final project and assessment:  Preparing data for analysis with Microsoft Excel,
Automize Monthly Report Creation with Power Automate,4.3 out of 5 stars,23 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/automize-monthly-report-creation-power-automate,,"Microsoft Outlook, Microsoft 365, Microsoft Excel, Email Marketing, Spreadsheet Software, Microsoft Power Automate/Flow, Data Import/Export, Verification And Validation, Document Management, Workflow Management",,"Dora Hrvoj, Coursera Project Network"
"Extract, Transform and Load Data in Power BI",4.6 out of 5 stars,886 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/extract-transform-and-load-data-in-power-bi,4 modules,"Data Integration, Extract, Transform, Load, Power BI, Data Cleansing, Data Storage Technologies, Business Intelligence, Data Analysis, Data Storage, Data Transformation, Data Quality, Data Validation",Data Sources in Power BI | Transforming Data in Power BI | Advanced ETL in PowerBI | Graded Assessment and Course wrap up,
Data Analysis and Visualization Foundations,4.7 out of 5 stars,28K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/data-analysis-visualization-foundations,,"Apache Hadoop, IBM Cognos Analytics, Data Science, Data Mining, Data Quality, Data Collection, Excel Formulas, Data Storytelling, Apache Hive, Dashboard, Data Visualization Software, Tree Maps",Introduction to Data Analytics | Excel Basics for Data Analysis | Data Visualization and Dashboards with Excel and Cognos | Assessment for Data Analysis and Visualization Foundations,"IBM Skills Network Team, Rav Ahuja, Sandip Saha Joy, Steve Ryan, Kevin McFaul"
PowerBI for Beginners: Sales Data Exploration,4.7 out of 5 stars,29 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/powerbi-for-beginners-sales-data-exploration,,"Data Presentation, Exploratory Data Analysis, Power BI, Business Analytics, Interactive Data Visualization, Dashboard, Sales, Data Analysis, Business Intelligence, Data Import/Export, Data Visualization, Customer Analysis, Trend Analysis, Data Visualization Software",,"Ahmad Varasteh, Coursera Project Network"
