課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Excel Skills for Data Analytics and Visualization,4.8 out of 5 stars,5.8K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/excel-data-analytics-visualization,,"Pivot Tables And Charts, Data Analysis Software, Excel Formulas, Data Storytelling, Excel Macros, Dashboard, Data Visualization Software, Data Modeling, Data Transformation, Interactive Data Visualization, Data Validation, Microsoft Excel",Excel Fundamentals for Data Analysis | Data Visualization in Excel | Excel Power Tools for Data Analysis,"Assoc Prof Prashan S. M. Karunaratne, Nicky Bull, Macquarie University"
Problem Solving with Excel,4.7 out of 5 stars,5.4K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/excel-analysis,4 modules,"Data Analysis, Complex Problem Solving, Spreadsheet Software, Excel Formulas, Data Validation, Data Cleansing, Financial Analysis, Microsoft Excel, Statistical Analysis, Data Analysis Expressions (DAX)",Overview of Excel | vLookups and Data Cleansing | Logical Functions & Pivot Tables | More Advanced Formulas,Alex Mannella
A Comprehensive Excel Masterclass,4.8 out of 5 stars,61 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/illinois-tech-a-comprehensive-excel-masterclass-unleashing-business-potential,4 modules,"Capital Budgeting, Data Analysis Expressions (DAX), Google Sheets, Business Intelligence, Financial Analysis, Data Visualization, Cash Flows, Financial Modeling, Pivot Tables And Charts, Loans, Key Performance Indicators (KPIs), Dashboard, Interactive Data Visualization, Business Analytics, Data-Driven Decision-Making, Microsoft Excel, Excel Formulas",Module 1: Financial Analysis in Excel | Module 2: Transforming Raw Data into Meaningful Insights | Module 3: Driving Business Intelligence with Excel Dashboards | Summative Course Assessment,"Liz Durango-Cohen, Illinois Tech"
Introduction to Microsoft Excel,4.6 out of 5 stars,43 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/introduction-to-microsoft-excel,,"Data Manipulation, Data Visualization, Productivity Software, Data Entry, Data Analysis, Spreadsheet Software, Inventory Management System, Microsoft Excel, Data Management, Business Analysis, Budgeting, Expense Management",,"Kim Webb, Coursera Project Network"
Create a Simple Gantt Chart using Microsoft Excel,4.5 out of 5 stars,115 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/create-simple-gantt-chart-microsoft-excel,,"Dashboard, Timelines, Project Schedules, Data Visualization, Scheduling, Microsoft Excel, Project Management Software",,"Andres Rodriguez, Coursera Project Network"
Data Skills for Excel Professionals,4.8 out of 5 stars,107 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/data-skills-for-excel,,"Data Integration, Pivot Tables And Charts, Excel Formulas, Data Storytelling, Data Presentation, Exploratory Data Analysis, Business Intelligence, Dashboard, Star Schema, Data Visualization Software, Data Modeling, Data Transformation",Fundamentals of Data Analysis in Excel | Power Query Fundamentals | Power Pivot Fundamentals,"CFI (Corporate Finance Institute), Corporate Finance Institute"
Excel Skills for Statistics and Data Analysis: Intermediate,N/A,N/A,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/intermediate-excel-skills-for-statistics-and-data-analysis,7 modules,"Sampling (Statistics), Statistics, Statistical Hypothesis Testing, Pivot Tables And Charts, Interactive Data Visualization, Probability & Statistics, Regression Analysis, Correlation Analysis, Descriptive Statistics, Data Visualization, Statistical Analysis, Forecasting, Data Analysis, Statistical Inference, Microsoft Excel",Welcome and Critical Information | Pivot Tables and Pivot Charts | Categorical Data and Goodness-of-Fit | Two Sample Tests | Correlation and Simple Regression | Course wrap up - Bringing it all together in one Final Assignment | Optional - Additional Excel Content to enhance your Excel Skills,"Assoc Prof Prashan S. M. Karunaratne, Macquarie University"
How to use Custom and Conditional Formatting in Excel,4.6 out of 5 stars,89 reviews,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/how-use-custom-conditional-formatting-excel,,"Data Visualization, Microsoft Excel, Excel Formulas, Spreadsheet Software",,"Summer Scaggs, Coursera Project Network"
Data for Business Analysts Using Microsoft Excel,4.6 out of 5 stars,207 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/data-for-business-analysts-using-microsoft-excel,5 modules,"Spreadsheet Software, Microsoft Excel, Business Metrics, Data Manipulation, Data Presentation, Pivot Tables And Charts, Data Cleansing, Excel Formulas, Data Analysis",Excel Fundamentals | Formula and functions | Preparing data for analysis using functions | Working with Pivots | Final project and assessment:  Preparing data for analysis with MS Excel,
Excel Fundamentals for Data Analysis,4.8 out of 5 stars,4.1K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/excel-data-analysis-fundamentals,7 modules,"Data Transformation, Excel Formulas, Automation, Microsoft Excel, Spreadsheet Software, Data Manipulation, Data Cleansing, Data Analysis, Data Validation, Pivot Tables And Charts",Welcome and critical information | Cleaning and manipulating text | Working with numbers and dates | Defined Names for working more effectively with data | Tables for automating data manipulation | Logical and lookup functions | Final assessment,"Nicky Bull, Assoc Prof Prashan S. M. Karunaratne, Macquarie University"
Google Data Analytics,4.8 out of 5 stars,170K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-data-analytics,,"Interviewing Skills, Applicant Tracking Systems, Tableau Software, Rmarkdown, Sampling (Statistics), Presentations, Data Storytelling, Data Presentation, Stakeholder Communications, Data Visualization Software, Interactive Data Visualization, Data Validation","Foundations: Data, Data, Everywhere | Ask Questions to Make Data-Driven Decisions | Prepare Data for Exploration | Process Data from Dirty to Clean | Analyze Data to Answer Questions | Share Data Through the Art of Visualization | Data Analysis with R Programming | Google Data Analytics Capstone: Complete a Case Study | Accelerate Your Job Search with AI",
Master Microsoft Office 365 and Power Platform,4.7 out of 5 stars,5.7K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/master-microsoft-office-365-power-platform,,"Data Integration, Microsoft Word, Multimedia, Microsoft PowerPoint, Prompt Engineering, Microsoft Outlook, Presentations, Excel Formulas, Dashboard, Microsoft Power Platform, Microsoft Copilot, Productivity Software",Work Smarter with Microsoft Word | Work Smarter with Microsoft Excel | Work Smarter with Microsoft PowerPoint | Introduction to Microsoft 365 Copilot | Introduction to Microsoft Power Platform | Use Power Platform for Custom & Automated Solutions | Power BI & Power Virtual Agents | The PL-900 Practice Exam,
Data for Analysis with Microsoft Excel,4.7 out of 5 stars,43 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/data-for-analysis-with-microsoft-excel,4 modules,"Pivot Tables And Charts, Timelines, Power BI, Data Transformation, Data Manipulation, Data Management, Microsoft Excel, Spreadsheet Software, Data Cleansing, Excel Formulas, Data Analysis",Excel fundamentals | Formulas and functions | Preparing data for analysis using functions | Final project and assessment:  Preparing data for analysis with Microsoft Excel,
ChatGPT + Excel: AI-Enhanced Data Analysis & Insight,4.8 out of 5 stars,6.2K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/chatgpt-excel,,"Data Integration, Data Synthesis, Large Language Modeling, Pivot Tables And Charts, Productivity, Prompt Engineering, Generative AI, Excel Formulas, Data Storytelling, Data Presentation, Excel Macros, ChatGPT","ChatGPT + Excel: Master Data, Make Decisions, Tell Stories | ChatGPT + Excel: Master AI-driven Formulas & Visualizations | Prompt Engineering for ChatGPT","Dr. Jules White, Vanderbilt University"
