課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長,課程內容總合,課程技能,技能1,技能2,技能3,技能4,技能5,技能6,技能7,技能8,技能9,技能10,技能11,技能12,技能13,技能14,技能15,技能16,技能17,技能18,技能19
Google UX Design,4.8 out of 5 stars,92K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-ux-design,,"Cross Platform Development, Presentations, Web Content Accessibility Guidelines, Usability, Applicant Tracking Systems, User Research, Persona (User Experience), Usability Testing, Responsive Web Design, Wireframing, Information Architecture, UI/UX Research","Foundations of User Experience (UX) Design | Start the UX Design Process: Empathize, Define, and Ideate | Build Wireframes and Low-Fidelity Prototypes | Conduct UX Research and Test Early Concepts | Create High-Fidelity Designs and Prototypes in Figma | Build Dynamic User Interfaces (UI) for Websites | Design a User Experience for Social Good & Prepare for Jobs | Accelerate Your Job Search with AI",,Starts Jul 18,Flexible schedule,"6 months, 10 hours. a weekLearn at your own pace","nan
Foundations of User Experience (UX) Design | Start the UX Design Process: Empathize, Define, and Ideate | Build Wireframes and Low-Fidelity Prototypes | Conduct UX Research and Test Early Concepts | Create High-Fidelity Designs and Prototypes in Figma | Build Dynamic User Interfaces (UI) for Websites | Design a User Experience for Social Good & Prepare for Jobs | Accelerate Your Job Search with AI
Cross Platform Development, Presentations, Web Content Accessibility Guidelines, Usability, Applicant Tracking Systems, User Research, Persona (User Experience), Usability Testing, Responsive Web Design, Wireframing, Information Architecture, UI/UX Research
Google UX Design","['Cross Platform Development', 'Presentations', 'Web Content Accessibility Guidelines', 'Usability', 'Applicant Tracking Systems', 'User Research', 'Persona (User Experience)', 'Usability Testing', 'Responsive Web Design', 'Wireframing', 'Information Architecture', 'UI/UX Research']",Cross Platform Development,Presentations,Web Content Accessibility Guidelines,Usability,Applicant Tracking Systems,User Research,Persona (User Experience),Usability Testing,Responsive Web Design,Wireframing,Information Architecture,UI/UX Research,,,,,,,
Web Applications for Everybody,4.7 out of 5 stars,9.3K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/web-applications,,"Database Design, Database Application, Database Development, Javascript, Web Applications, Debugging, Hypertext Markup Language (HTML), Authentications, Ajax, PHP (Scripting Language), Databases, SQL","Building Web Applications in PHP | Introduction to Structured Query Language (SQL) | Building Database Applications in PHP | JavaScript, jQuery, and JSON","Charles Russell Severance, University of Michigan",Starts Jul 18,2 months,at 10 hours. a week,"nan
Building Web Applications in PHP | Introduction to Structured Query Language (SQL) | Building Database Applications in PHP | JavaScript, jQuery, and JSON
Database Design, Database Application, Database Development, Javascript, Web Applications, Debugging, Hypertext Markup Language (HTML), Authentications, Ajax, PHP (Scripting Language), Databases, SQL
Web Applications for Everybody","['Database Design', 'Database Application', 'Database Development', 'Javascript', 'Web Applications', 'Debugging', 'Hypertext Markup Language (HTML)', 'Authentications', 'Ajax', 'PHP (Scripting Language)', 'Databases', 'SQL']",Database Design,Database Application,Database Development,Javascript,Web Applications,Debugging,Hypertext Markup Language (HTML),Authentications,Ajax,PHP (Scripting Language),Databases,SQL,,,,,,,
English for Career Development,4.8 out of 5 stars,17K reviews,Mixed · Course · 1 - 3 Months,https://www.coursera.org/learn/careerdevelopment,5 modules,"Business Communication, Business Correspondence, Verbal Communication Skills, Business Writing, English Language, Social Skills, Interviewing Skills, Professional Networking, Communication, Vocabulary, Writing",Unit 1: Entering the Job Market | Unit 2: Resumes | Unit 3: Writing a Cover Letter | Unit 4: Networking | Unit 5: Interviewing For a Job,"Brian McManus, Robyn Turner, University of Pennsylvania",Starts Jul 18,Flexible schedule,Learn at your own pace,"5 modules
Unit 1: Entering the Job Market | Unit 2: Resumes | Unit 3: Writing a Cover Letter | Unit 4: Networking | Unit 5: Interviewing For a Job
Business Communication, Business Correspondence, Verbal Communication Skills, Business Writing, English Language, Social Skills, Interviewing Skills, Professional Networking, Communication, Vocabulary, Writing
English for Career Development","['Business Communication', 'Business Correspondence', 'Verbal Communication Skills', 'Business Writing', 'English Language', 'Social Skills', 'Interviewing Skills', 'Professional Networking', 'Communication', 'Vocabulary', 'Writing']",Business Communication,Business Correspondence,Verbal Communication Skills,Business Writing,English Language,Social Skills,Interviewing Skills,Professional Networking,Communication,Vocabulary,Writing,,,,,,,,
Modern Web Development Specialization,4.9 out of 5 stars,164 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/modern-web-development-specialization,,"Cloud Computing, Secure Coding, Application Performance Management, CI/CD, Cloud Infrastructure, Cloud Computing Architecture, Continuous Integration, Web Applications, Cloud Platforms, Model View Controller, OAuth, Microservices",Introduction to Modern Web Development with ASP.NET Core | Continuous Integration and Deployment with ASP.NET Core | Cloud Deployment and Scaling with ASP.NET Core | Advanced Topics in ASP.NET Core Development,,Starts Jul 18,Flexible schedule,Learn at your own pace,"nan
Introduction to Modern Web Development with ASP.NET Core | Continuous Integration and Deployment with ASP.NET Core | Cloud Deployment and Scaling with ASP.NET Core | Advanced Topics in ASP.NET Core Development
Cloud Computing, Secure Coding, Application Performance Management, CI/CD, Cloud Infrastructure, Cloud Computing Architecture, Continuous Integration, Web Applications, Cloud Platforms, Model View Controller, OAuth, Microservices
Modern Web Development Specialization","['Cloud Computing', 'Secure Coding', 'Application Performance Management', 'CI/CD', 'Cloud Infrastructure', 'Cloud Computing Architecture', 'Continuous Integration', 'Web Applications', 'Cloud Platforms', 'Model View Controller', 'OAuth', 'Microservices']",Cloud Computing,Secure Coding,Application Performance Management,CI/CD,Cloud Infrastructure,Cloud Computing Architecture,Continuous Integration,Web Applications,Cloud Platforms,Model View Controller,OAuth,Microservices,,,,,,,
Google Digital Marketing & E-commerce,4.8 out of 5 stars,41K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-digital-marketing-ecommerce,,"Email Marketing, Google Ads, Applicant Tracking Systems, Loyalty Programs, Social Media Management, Order Fulfillment, Campaign Management, Performance Measurement, Marketing, Media Planning, Social Media Marketing, Search Engine Optimization","Foundations of Digital Marketing and E-commerce | Attract and Engage Customers with Digital Marketing | From Likes to Leads: Interact with Customers Online | Think Outside the Inbox: Email Marketing | Assess for Success: Marketing Analytics and Measurement | Make the Sale: Build, Launch, and Manage E-commerce Stores | Satisfaction Guaranteed: Develop Customer Loyalty Online | Accelerate Your Job Search with AI",,Starts Jul 18,Flexible schedule,"6 months, 10 hours. a weekLearn at your own pace","nan
Foundations of Digital Marketing and E-commerce | Attract and Engage Customers with Digital Marketing | From Likes to Leads: Interact with Customers Online | Think Outside the Inbox: Email Marketing | Assess for Success: Marketing Analytics and Measurement | Make the Sale: Build, Launch, and Manage E-commerce Stores | Satisfaction Guaranteed: Develop Customer Loyalty Online | Accelerate Your Job Search with AI
Email Marketing, Google Ads, Applicant Tracking Systems, Loyalty Programs, Social Media Management, Order Fulfillment, Campaign Management, Performance Measurement, Marketing, Media Planning, Social Media Marketing, Search Engine Optimization
Google Digital Marketing & E-commerce","['Email Marketing', 'Google Ads', 'Applicant Tracking Systems', 'Loyalty Programs', 'Social Media Management', 'Order Fulfillment', 'Campaign Management', 'Performance Measurement', 'Marketing', 'Media Planning', 'Social Media Marketing', 'Search Engine Optimization']",Email Marketing,Google Ads,Applicant Tracking Systems,Loyalty Programs,Social Media Management,Order Fulfillment,Campaign Management,Performance Measurement,Marketing,Media Planning,Social Media Marketing,Search Engine Optimization,,,,,,,
IBM DevOps and Software Engineering,4.6 out of 5 stars,61K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/devops-and-software-engineering,,"Software Development Life Cycle, Data Import/Export, CI/CD, Open Web Application Security Project (OWASP), Software Architecture, Software Engineering, Cloud Computing Architecture, Linux Commands, Continuous Integration, Application Development, DevOps, Test Driven Development (TDD)","Introduction to DevOps | Introduction to Cloud Computing | Introduction to Agile Development and Scrum | Introduction to Software Engineering | Getting Started with Git and GitHub | Hands-on Introduction to Linux Commands and Shell Scripting | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Introduction to Containers w/ Docker, Kubernetes & OpenShift | Application Development using Microservices and Serverless | Introduction to Test and Behavior Driven Development | Continuous Integration and Continuous Delivery (CI/CD) | Application Security for Developers and DevOps Professionals | Monitoring and Observability forÂ Development and DevOps | DevOps Capstone Project","John Rofrano, Abhishek Gagneja, Joseph Santarcangelo, Rav Ahuja, Upkar Lidder, Lavanya Thiruvali Sunderarajan, Alex Parker, Ramesh Sannareddy, Sam Prokopchuk, Bethany Hudnutt, Ramanujam Srinivasan",Starts Jul 18,Flexible schedule,"6 months, 10 hours. a weekLearn at your own pace","nan
Introduction to DevOps | Introduction to Cloud Computing | Introduction to Agile Development and Scrum | Introduction to Software Engineering | Getting Started with Git and GitHub | Hands-on Introduction to Linux Commands and Shell Scripting | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Introduction to Containers w/ Docker, Kubernetes & OpenShift | Application Development using Microservices and Serverless | Introduction to Test and Behavior Driven Development | Continuous Integration and Continuous Delivery (CI/CD) | Application Security for Developers and DevOps Professionals | Monitoring and Observability forÂ Development and DevOps | DevOps Capstone Project
Software Development Life Cycle, Data Import/Export, CI/CD, Open Web Application Security Project (OWASP), Software Architecture, Software Engineering, Cloud Computing Architecture, Linux Commands, Continuous Integration, Application Development, DevOps, Test Driven Development (TDD)
IBM DevOps and Software Engineering","['Software Development Life Cycle', 'Data Import/Export', 'CI/CD', 'Open Web Application Security Project (OWASP)', 'Software Architecture', 'Software Engineering', 'Cloud Computing Architecture', 'Linux Commands', 'Continuous Integration', 'Application Development', 'DevOps', 'Test Driven Development (TDD)']",Software Development Life Cycle,Data Import/Export,CI/CD,Open Web Application Security Project (OWASP),Software Architecture,Software Engineering,Cloud Computing Architecture,Linux Commands,Continuous Integration,Application Development,DevOps,Test Driven Development (TDD),,,,,,,
AWS Fundamentals,4.8 out of 5 stars,6.5K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/aws-fundamentals,,"API Gateway, Data Migration, Cloud Computing, Data Import/Export, Amazon Elastic Compute Cloud, Software Architecture, Cloud Infrastructure, Cloud Computing Architecture, Event-Driven Programming, Cloud Storage, AWS Identity and Access Management (IAM), Amazon S3",AWS Cloud Technical Essentials | Migrating to the AWS Cloud | Architecting Solutions on AWS,"Alex G., Morgan Willis, Seph Robinson, Rafael Lopes, Amazon Web Services",Starts Jul 18,1 month,at 10 hours. a week,"nan
AWS Cloud Technical Essentials | Migrating to the AWS Cloud | Architecting Solutions on AWS
API Gateway, Data Migration, Cloud Computing, Data Import/Export, Amazon Elastic Compute Cloud, Software Architecture, Cloud Infrastructure, Cloud Computing Architecture, Event-Driven Programming, Cloud Storage, AWS Identity and Access Management (IAM), Amazon S3
AWS Fundamentals","['API Gateway', 'Data Migration', 'Cloud Computing', 'Data Import/Export', 'Amazon Elastic Compute Cloud', 'Software Architecture', 'Cloud Infrastructure', 'Cloud Computing Architecture', 'Event-Driven Programming', 'Cloud Storage', 'AWS Identity and Access Management (IAM)', 'Amazon S3']",API Gateway,Data Migration,Cloud Computing,Data Import/Export,Amazon Elastic Compute Cloud,Software Architecture,Cloud Infrastructure,Cloud Computing Architecture,Event-Driven Programming,Cloud Storage,AWS Identity and Access Management (IAM),Amazon S3,,,,,,,
IBM Back-End Development,4.6 out of 5 stars,49K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-backend-development,,"Kubernetes, Object-Relational Mapping, Software Development Life Cycle, Data Import/Export, Open Web Application Security Project (OWASP), Bash (Scripting Language), Software Architecture, Linux Commands, OpenShift, NoSQL, Microservices, Shell Script","Introduction to Software Engineering | Getting Started with Git and GitHub | Hands-on Introduction to Linux Commands and Shell Scripting | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Django Application Development with SQL and Databases | Introduction to Containers w/ Docker, Kubernetes & OpenShift | Application Development using Microservices and Serverless | Application Security for Developers and DevOps Professionals | Monitoring and Observability forÂ Development and DevOps | Back-end Application Development Capstone Project","John Rofrano, IBM Skills Network Team, Abhishek Gagneja, Joseph Santarcangelo, Rav Ahuja, Upkar Lidder, Lavanya Thiruvali Sunderarajan, Alex Parker, Yan Luo, Ramesh Sannareddy, Sam Prokopchuk, Bethany Hudnutt, Ramanujam Srinivasan",Starts Jul 18,6 months,at 10 hours. a week,"nan
Introduction to Software Engineering | Getting Started with Git and GitHub | Hands-on Introduction to Linux Commands and Shell Scripting | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Django Application Development with SQL and Databases | Introduction to Containers w/ Docker, Kubernetes & OpenShift | Application Development using Microservices and Serverless | Application Security for Developers and DevOps Professionals | Monitoring and Observability forÂ Development and DevOps | Back-end Application Development Capstone Project
Kubernetes, Object-Relational Mapping, Software Development Life Cycle, Data Import/Export, Open Web Application Security Project (OWASP), Bash (Scripting Language), Software Architecture, Linux Commands, OpenShift, NoSQL, Microservices, Shell Script
IBM Back-End Development","['Kubernetes', 'Object-Relational Mapping', 'Software Development Life Cycle', 'Data Import/Export', 'Open Web Application Security Project (OWASP)', 'Bash (Scripting Language)', 'Software Architecture', 'Linux Commands', 'OpenShift', 'NoSQL', 'Microservices', 'Shell Script']",Kubernetes,Object-Relational Mapping,Software Development Life Cycle,Data Import/Export,Open Web Application Security Project (OWASP),Bash (Scripting Language),Software Architecture,Linux Commands,OpenShift,NoSQL,Microservices,Shell Script,,,,,,,
"Holistic Web Development: Responsive UIs,  Logic, Deployment",,,Advanced · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/holisticwebdevelopment-responsiveuis-serverlogic-scalabledeployment,,"Kubernetes, HTML and CSS, Web Content Accessibility Guidelines, Node.JS, Database Management, CI/CD, Containerization, Responsive Web Design, API Design, Cloud Platforms, User Interface (UI) Design, Cloud Applications",Mastering Responsive UI Design for Modern Web Development | Comprehensive Guide to Server-Side Logic and Development | Scalable Deployment and DevOps for Web Development,Board Infinity,Starts Jul 18,Flexible schedule,Learn at your own pace,"nan
Mastering Responsive UI Design for Modern Web Development | Comprehensive Guide to Server-Side Logic and Development | Scalable Deployment and DevOps for Web Development
Kubernetes, HTML and CSS, Web Content Accessibility Guidelines, Node.JS, Database Management, CI/CD, Containerization, Responsive Web Design, API Design, Cloud Platforms, User Interface (UI) Design, Cloud Applications
Holistic Web Development: Responsive UIs,  Logic, Deployment","['Kubernetes', 'HTML and CSS', 'Web Content Accessibility Guidelines', 'Node.JS', 'Database Management', 'CI/CD', 'Containerization', 'Responsive Web Design', 'API Design', 'Cloud Platforms', 'User Interface (UI) Design', 'Cloud Applications']",Kubernetes,HTML and CSS,Web Content Accessibility Guidelines,Node.JS,Database Management,CI/CD,Containerization,Responsive Web Design,API Design,Cloud Platforms,User Interface (UI) Design,Cloud Applications,,,,,,,
Deep Learning,4.8 out of 5 stars,146K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/deep-learning,,"Artificial Intelligence, Tensorflow, Machine Learning, Applied Machine Learning, Computer Vision, Artificial Neural Networks, PyTorch (Machine Learning Library), Performance Tuning, Artificial Intelligence and Machine Learning (AI/ML), Supervised Learning, Debugging, Natural Language Processing","Neural Networks and Deep Learning | Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization | Structuring Machine Learning Projects | Convolutional Neural Networks | Sequence Models","Andrew Ng, Younes Bensouda Mourri, Kian Katanforoosh",Starts Jul 18,Flexible schedule,"3 months, 10 hours. a weekLearn at your own pace","nan
Neural Networks and Deep Learning | Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization | Structuring Machine Learning Projects | Convolutional Neural Networks | Sequence Models
Artificial Intelligence, Tensorflow, Machine Learning, Applied Machine Learning, Computer Vision, Artificial Neural Networks, PyTorch (Machine Learning Library), Performance Tuning, Artificial Intelligence and Machine Learning (AI/ML), Supervised Learning, Debugging, Natural Language Processing
Deep Learning","['Artificial Intelligence', 'Tensorflow', 'Machine Learning', 'Applied Machine Learning', 'Computer Vision', 'Artificial Neural Networks', 'PyTorch (Machine Learning Library)', 'Performance Tuning', 'Artificial Intelligence and Machine Learning (AI/ML)', 'Supervised Learning', 'Debugging', 'Natural Language Processing']",Artificial Intelligence,Tensorflow,Machine Learning,Applied Machine Learning,Computer Vision,Artificial Neural Networks,PyTorch (Machine Learning Library),Performance Tuning,Artificial Intelligence and Machine Learning (AI/ML),Supervised Learning,Debugging,Natural Language Processing,,,,,,,
Django Web Framework,4.7 out of 5 stars,617 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/django-web-framework,5 modules,"Web Servers, MySQL, Application Security, Data Modeling, Database Development, Hypertext Markup Language (HTML), Application Frameworks, Database Management, Django (Web Framework), Web Development, Web Applications, Back-End Web Development",Introduction to Django | Views | Models | Templates | Course summary and graded project assessment,Taught by Meta Staff,Starts Jul 18,,,"5 modules
Introduction to Django | Views | Models | Templates | Course summary and graded project assessment
Web Servers, MySQL, Application Security, Data Modeling, Database Development, Hypertext Markup Language (HTML), Application Frameworks, Database Management, Django (Web Framework), Web Development, Web Applications, Back-End Web Development
Django Web Framework","['Web Servers', 'MySQL', 'Application Security', 'Data Modeling', 'Database Development', 'Hypertext Markup Language (HTML)', 'Application Frameworks', 'Database Management', 'Django (Web Framework)', 'Web Development', 'Web Applications', 'Back-End Web Development']",Web Servers,MySQL,Application Security,Data Modeling,Database Development,Hypertext Markup Language (HTML),Application Frameworks,Database Management,Django (Web Framework),Web Development,Web Applications,Back-End Web Development,,,,,,,
IBM AI Developer,4.6 out of 5 stars,71K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,,"Machine Learning, Flask (Web Framework), Software Development Life Cycle, Software Design Patterns, ChatGPT, Data Import/Export, Generative AI, Software Architecture, Software Engineering, Data Science, Cascading Style Sheets (CSS), Prompt Engineering","Introduction to Software Engineering | Introduction to Artificial Intelligence (AI) | Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Introduction to HTML, CSS, & JavaScript | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Building Generative AI-Powered Applications with Python | Generative AI:Â Elevate your Software Development Career | Software Developer Career Guide and Interview Preparation","IBM Skills Network Team, Michelle Saltoun, Sina Nazeri, Abhishek Gagneja, Joseph Santarcangelo, Rav Ahuja, Antonio Cangiano, Upkar Lidder, Ramesh Sannareddy, Bethany Hudnutt, Ramanujam Srinivasan",Starts Jul 18,Flexible schedule,"6 months, 4 hours. a weekLearn at your own pace","nan
Introduction to Software Engineering | Introduction to Artificial Intelligence (AI) | Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Introduction to HTML, CSS, & JavaScript | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Building Generative AI-Powered Applications with Python | Generative AI:Â Elevate your Software Development Career | Software Developer Career Guide and Interview Preparation
Machine Learning, Flask (Web Framework), Software Development Life Cycle, Software Design Patterns, ChatGPT, Data Import/Export, Generative AI, Software Architecture, Software Engineering, Data Science, Cascading Style Sheets (CSS), Prompt Engineering
IBM AI Developer","['Machine Learning', 'Flask (Web Framework)', 'Software Development Life Cycle', 'Software Design Patterns', 'ChatGPT', 'Data Import/Export', 'Generative AI', 'Software Architecture', 'Software Engineering', 'Data Science', 'Cascading Style Sheets (CSS)', 'Prompt Engineering']",Machine Learning,Flask (Web Framework),Software Development Life Cycle,Software Design Patterns,ChatGPT,Data Import/Export,Generative AI,Software Architecture,Software Engineering,Data Science,Cascading Style Sheets (CSS),Prompt Engineering,,,,,,,
Software Development Lifecycle,4.7 out of 5 stars,9.7K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/software-development-lifecycle,,"Software Quality (SQA/SQC), Software Development Life Cycle, Software Design Patterns, Object Oriented Design, Design Thinking, Kanban Principles, Software Architecture, Software Engineering, Agile Project Management, Agile Software Development, Process Mapping, Agile Methodology",Software Development Processes and Methodologies | Agile Software Development | Lean Software Development | Engineering Practices for Building Quality Software,"Kevin Wendt, Praveen Mittal, University of Minnesota",Starts Jul 18,2 months,at 10 hours. a week,"nan
Software Development Processes and Methodologies | Agile Software Development | Lean Software Development | Engineering Practices for Building Quality Software
Software Quality (SQA/SQC), Software Development Life Cycle, Software Design Patterns, Object Oriented Design, Design Thinking, Kanban Principles, Software Architecture, Software Engineering, Agile Project Management, Agile Software Development, Process Mapping, Agile Methodology
Software Development Lifecycle","['Software Quality (SQA/SQC)', 'Software Development Life Cycle', 'Software Design Patterns', 'Object Oriented Design', 'Design Thinking', 'Kanban Principles', 'Software Architecture', 'Software Engineering', 'Agile Project Management', 'Agile Software Development', 'Process Mapping', 'Agile Methodology']",Software Quality (SQA/SQC),Software Development Life Cycle,Software Design Patterns,Object Oriented Design,Design Thinking,Kanban Principles,Software Architecture,Software Engineering,Agile Project Management,Agile Software Development,Process Mapping,Agile Methodology,,,,,,,
IBM Generative AI Engineering,4.6 out of 5 stars,89K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering,,"Predictive Modeling, Flask (Web Framework), Applied Machine Learning, ChatGPT, Feature Engineering, Data Import/Export, Generative AI Agents, Unsupervised Learning, Generative AI, PyTorch (Machine Learning Library), Data Wrangling, Exploratory Data Analysis","Introduction to Artificial Intelligence (AI) | Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Building Generative AI-Powered Applications with Python | Data Analysis with Python | Machine Learning with Python | Introduction to Deep Learning & Neural Networks with Keras | Generative AI and LLMs: Architecture and Data Preparation | Gen AI Foundational Models for NLP & Language Understanding | Generative AI Language Modeling with Transformers | Generative AI Engineering and Fine-Tuning Transformers | Generative AI Advance Fine-Tuning for LLMs | Fundamentals of AI Agents Using RAG and LangChain | Project: Generative AI Applications with RAG and LangChain","IBM Skills Network Team, Sina Nazeri, Abhishek Gagneja, Fateme Akbari, Wojciech 'Victor' Fulmyk, Kang Wang, Ashutosh Sagar, Joseph Santarcangelo, Alex Aklson, Rav Ahuja, Antonio Cangiano, Roodra Pratap Kanwar, Ramesh Sannareddy, Jeff Grossman",Starts Jul 18,,,"nan
Introduction to Artificial Intelligence (AI) | Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Building Generative AI-Powered Applications with Python | Data Analysis with Python | Machine Learning with Python | Introduction to Deep Learning & Neural Networks with Keras | Generative AI and LLMs: Architecture and Data Preparation | Gen AI Foundational Models for NLP & Language Understanding | Generative AI Language Modeling with Transformers | Generative AI Engineering and Fine-Tuning Transformers | Generative AI Advance Fine-Tuning for LLMs | Fundamentals of AI Agents Using RAG and LangChain | Project: Generative AI Applications with RAG and LangChain
Predictive Modeling, Flask (Web Framework), Applied Machine Learning, ChatGPT, Feature Engineering, Data Import/Export, Generative AI Agents, Unsupervised Learning, Generative AI, PyTorch (Machine Learning Library), Data Wrangling, Exploratory Data Analysis
IBM Generative AI Engineering","['Predictive Modeling', 'Flask (Web Framework)', 'Applied Machine Learning', 'ChatGPT', 'Feature Engineering', 'Data Import/Export', 'Generative AI Agents', 'Unsupervised Learning', 'Generative AI', 'PyTorch (Machine Learning Library)', 'Data Wrangling', 'Exploratory Data Analysis']",Predictive Modeling,Flask (Web Framework),Applied Machine Learning,ChatGPT,Feature Engineering,Data Import/Export,Generative AI Agents,Unsupervised Learning,Generative AI,PyTorch (Machine Learning Library),Data Wrangling,Exploratory Data Analysis,,,,,,,
IBM Data Analyst,4.6 out of 5 stars,93K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-analyst,,"Predictive Modeling, IBM Cognos Analytics, Data Import/Export, Generative AI, Data Visualization, Data Wrangling, Exploratory Data Analysis, Dashboard, Big Data, Microsoft Excel, Professional Networking, Excel Formulas","Introduction to Data Analytics | Excel Basics for Data Analysis | Data Visualization and Dashboards with Excel and Cognos | Python for Data Science, AI & Development | Python Project for Data Science | Databases and SQL for Data Science with Python | Data Analysis with Python | Data Visualization with Python | IBM Data Analyst Capstone Project | Generative AI: Enhance your Data Analytics Career | Data Analyst Career Guide and Interview Preparation","IBM Skills Network Team, Dr. Pooja, Abhishek Gagneja, Joseph Santarcangelo, Rav Ahuja, Saishruthi Swaminathan, Hima Vasudevan, Sandip Saha Joy, Azim Hirjani, Steve Ryan, Kevin McFaul, Ramesh Sannareddy",Starts Jul 18,Flexible schedule,"4 months, 10 hours. a weekLearn at your own pace","nan
Introduction to Data Analytics | Excel Basics for Data Analysis | Data Visualization and Dashboards with Excel and Cognos | Python for Data Science, AI & Development | Python Project for Data Science | Databases and SQL for Data Science with Python | Data Analysis with Python | Data Visualization with Python | IBM Data Analyst Capstone Project | Generative AI: Enhance your Data Analytics Career | Data Analyst Career Guide and Interview Preparation
Predictive Modeling, IBM Cognos Analytics, Data Import/Export, Generative AI, Data Visualization, Data Wrangling, Exploratory Data Analysis, Dashboard, Big Data, Microsoft Excel, Professional Networking, Excel Formulas
IBM Data Analyst","['Predictive Modeling', 'IBM Cognos Analytics', 'Data Import/Export', 'Generative AI', 'Data Visualization', 'Data Wrangling', 'Exploratory Data Analysis', 'Dashboard', 'Big Data', 'Microsoft Excel', 'Professional Networking', 'Excel Formulas']",Predictive Modeling,IBM Cognos Analytics,Data Import/Export,Generative AI,Data Visualization,Data Wrangling,Exploratory Data Analysis,Dashboard,Big Data,Microsoft Excel,Professional Networking,Excel Formulas,,,,,,,
Use Canva to Create Desktop and Mobile-friendly Web Pages.,4.5 out of 5 stars,1.4K reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/use-canva-to-create-desktop-and-mobile-friendly-webpages,,"Web Design and Development, Graphic Design, User Accounts, Social Media, Digital Publishing, Business, Visual Design, Web Applications, Web Content, Canva (Software), Graphic and Visual Design Software",,"Chaitra Deshpande, Coursera Project Network",,2 hours,Learn at your own pace,"nan
nan
Web Design and Development, Graphic Design, User Accounts, Social Media, Digital Publishing, Business, Visual Design, Web Applications, Web Content, Canva (Software), Graphic and Visual Design Software
Use Canva to Create Desktop and Mobile-friendly Web Pages.","['Web Design and Development', 'Graphic Design', 'User Accounts', 'Social Media', 'Digital Publishing', 'Business', 'Visual Design', 'Web Applications', 'Web Content', 'Canva (Software)', 'Graphic and Visual Design Software']",Web Design and Development,Graphic Design,User Accounts,Social Media,Digital Publishing,Business,Visual Design,Web Applications,Web Content,Canva (Software),Graphic and Visual Design Software,,,,,,,,
