課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Microsoft Azure Machine Learning,4.5 out of 5 stars,239 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/microsoft-azure-machine-learning,4 modules,"Classification And Regression Tree (CART), Machine Learning, Supervised Learning, Applied Machine Learning, Regression Analysis, Machine Learning Methods, Automation, Microsoft Azure, Unsupervised Learning, Predictive Modeling, Artificial Intelligence, Machine Learning Algorithms, Statistical Machine Learning",Use Automated Machine Learning in Azure Machine Learning | Create a Regression Model with Azure Machine Learning Designer | Create a Classification Model with Azure AI | Create a Clustering Model with Azure AI,,Starts Jul 19,Flexible schedule,Approx. 11 hours.Learn at your own pace
IBM AI Engineering,4.6 out of 5 stars,20K reviews,Intermediate · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ai-engineer,,"Reinforcement Learning, PyTorch (Machine Learning Library), Unsupervised Learning, Generative AI, Prompt Engineering, Machine Learning, Supervised Learning, Generative AI Agents, Natural Language Processing, Applied Machine Learning, Deep Learning, Image Analysis",Machine Learning with Python | Introduction to Deep Learning & Neural Networks with Keras | Deep Learning with Keras and Tensorflow | Introduction to Neural Networks and PyTorch | Deep Learning with PyTorch | AI Capstone Project with Deep Learning | Generative AI and LLMs: Architecture and Data Preparation | Gen AI Foundational Models for NLP & Language Understanding | Generative AI Language Modeling with Transformers | Generative AI Engineering and Fine-Tuning Transformers | Generative AI Advance Fine-Tuning for LLMs | Fundamentals of AI Agents Using RAG and LangChain | Project: Generative AI Applications with RAG and LangChain,"Sina Nazeri, Fateme Akbari, Wojciech 'Victor' Fulmyk, Kang Wang, Ashutosh Sagar, Ricky Shi, Romeo Kienzler, Joseph Santarcangelo, Alex Aklson, Roodra Pratap Kanwar, Samaya Madhavan, JEREMY NILMEIER, Jeff Grossman",Starts Jul 19,Flexible schedule,"4 months, 10 hours. a weekLearn at your own pace"
Advanced Machine Learning on Google Cloud,4.5 out of 5 stars,1.5K reviews,Advanced · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/advanced-machine-learning-tensorflow-gcp,,"Reinforcement Learning, Artificial Neural Networks, Performance Tuning, Artificial Intelligence and Machine Learning (AI/ML), Machine Learning, Natural Language Processing, MLOps (Machine Learning Operations), Applied Machine Learning, Deep Learning, Computer Vision, Image Analysis, Systems Design",Production Machine Learning Systems | Computer Vision Fundamentals with Google Cloud | Natural Language Processing on Google Cloud | Recommendation Systems on Google Cloud,"Google Cloud Training, Google Cloud, Qwiklabs Terms of Service",Starts Jul 19,1 month,at 10 hours. a week
Introduction to Embedded Machine Learning,4.8 out of 5 stars,731 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-embedded-machine-learning,3 modules,"Data Analysis, Feature Engineering, Machine Learning, Applied Machine Learning, Data Ethics, Artificial Intelligence and Machine Learning (AI/ML), Embedded Systems, Deep Learning, Artificial Neural Networks, Computer Programming",Introduction to Machine Learning | Introduction to Neural Networks | Audio classification and Keyword Spotting,"Shawn Hymel, Alexander Fred-Ojala, Edge Impulse",Starts Jul 19,Flexible schedule,Approx. 17 hours.Learn at your own pace
Linear Algebra for Machine Learning and Data Science,4.6 out of 5 stars,2.1K reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/machine-learning-linear-algebra,4 modules,"Jupyter, NumPy, Dimensionality Reduction, Python Programming, Machine Learning, Machine Learning Methods, Data Manipulation, Applied Mathematics, Data Science, Artificial Intelligence, Linear Algebra",Week 1: Systems of linear equations | Week 2: Solving systems of linear equations | Week 3: Vectors and Linear Transformations | Week 4: Determinants and Eigenvectors,Luis Serrano,Starts Jul 19,Flexible schedule,Approx. 34 hours.Learn at your own pace
Machine Learning Pipelines with Azure ML Studio,4.5 out of 5 stars,807 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/azure-machine-learning-studio-pipeline,,"Applied Machine Learning, Supervised Learning, Data Pipelines, Feature Engineering, Machine Learning, Application Deployment, Data Science, Data Analysis, Data Processing, Microsoft Azure, Classification And Regression Tree (CART), Predictive Modeling, Data Cleansing",,"Snehan Kekre, Coursera Project Network",,2 hours,Learn at your own pace
Learning TensorFlow: the Hello World of Machine Learning,4.1 out of 5 stars,17 reviews,Beginner · Project · Less Than 2 Hours,https://www.coursera.org/projects/googlecloud-learning-tensorflow-the-hello-world-of-machine-learning-063j7,,"Cloud Computing, Google Cloud Platform, Tensorflow, Deep Learning, Scripting, Development Environment, Machine Learning, Artificial Neural Networks",,"Google Cloud Training, Google Cloud",,40 Minutes,Learn at your own pace
Structuring Machine Learning Projects,4.8 out of 5 stars,50K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/machine-learning-projects,2 modules,"PyTorch (Machine Learning Library), Debugging, Keras (Neural Network Library), Applied Machine Learning, Tensorflow, Machine Learning, Deep Learning, Artificial Intelligence, Data Quality, Performance Tuning",ML Strategy | ML Strategy,"Andrew Ng, Younes Bensouda Mourri, Kian Katanforoosh",Starts Jul 19,Flexible schedule,Approx. 6 hours.Learn at your own pace
IBM AI Developer,4.6 out of 5 stars,72K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,,"Software Development Life Cycle, Development Environment, ChatGPT, Generative AI, Prompt Engineering, Machine Learning, Unit Testing, Responsive Web Design, Software Development Tools, Jupyter, Data Science, Cascading Style Sheets (CSS)","Introduction to Software Engineering | Introduction to Artificial Intelligence (AI) | Generative AI: Introduction and Applications | Generative AI: Prompt Engineering Basics | Introduction to HTML, CSS, & JavaScript | Python for Data Science, AI & Development | Developing AI Applications with Python and Flask | Building Generative AI-Powered Applications with Python | Generative AI:Â Elevate your Software Development Career | Software Developer Career Guide and Interview Preparation","IBM Skills Network Team, Michelle Saltoun, Sina Nazeri, Abhishek Gagneja, Joseph Santarcangelo, Rav Ahuja, Antonio Cangiano, Upkar Lidder, Ramesh Sannareddy, Bethany Hudnutt, Ramanujam Srinivasan",Starts Jul 19,Flexible schedule,"6 months, 4 hours. a weekLearn at your own pace"
機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,4.9 out of 5 stars,933 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/ntumlone-mathematicalfoundations,8 modules,"Classification And Regression Tree (CART), Linear Algebra, Theoretical Computer Science, Machine Learning, Probability & Statistics, Algorithms, Mathematical Modeling, Statistical Machine Learning, Supervised Learning, Artificial Intelligence and Machine Learning (AI/ML)",ç¬¬ä¸è¬ï¼The Learning Problem | ç¬¬äºè¬ï¼Learning to Answer Yes/No | ç¬¬ä¸è¬ï¼Types of Learning | ç¬¬åè¬ï¼Feasibility of Learning | ç¬¬äºè¬ï¼Training versus Testing | ç¬¬å­è¬: Theory of Generalization | ç¬¬ä¸è¬: The VC Dimension | ç¬¬å«è¬: Noise and Error,National Taiwan University,Starts Jul 19,Flexible schedule,Approx. 9 hours.Learn at your own pace
