課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Introduction to Spreadsheets and Models,4.2 out of 5 stars,3.9K reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/wharton-introduction-spreadsheets-models,4 modules,"Data Modeling, Microsoft Excel, Google Sheets, Statistical Analysis, Risk Analysis, Forecasting, Financial Modeling, Regression Analysis, Spreadsheet Software, Simulation and Simulation Software, Probability & Statistics, Business Modeling, Process Improvement and Optimization",Spreadsheets: A Tool for Thinking with Numbers | From Spreadsheet to Model | Addressing Uncertainty and Probability in Models | Simulation and Optimization,"Don Huesman, University of Pennsylvania",Starts Jul 17,Flexible schedule,Learn at your own pace
Introduction to Financial Accounting,4.7 out of 5 stars,8.3K reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/wharton-accounting,4 modules,"Accounting, Bookkeeping, Accrual Accounting, Financial Statement Analysis, Income Statement, Balance Sheet, Depreciation, Financial Accounting, Financial Statements, Financial Reporting, Revenue Recognition, Financial Analysis, Cash Flows",Week 1: Introduction and Balance Sheet | Week 2: Accrual Accounting and the Income Statement | Week 3: Cash Flows | Week 4: Ratio Analysis and Final Exam,"Brian J Bushee, University of Pennsylvania",Starts Jul 17,Flexible schedule,Learn at your own pace
Behavioral Finance,4.4 out of 5 stars,4.4K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/duke-behavioral-finance,3 modules,"Consumer Behaviour, Finance, Economics, Financial Market, Decision Making, Financial Planning, Psychology, Risk Analysis, Behavioral Economics",Week 1 | Week 2 | Week 3,"Emma Rasiel, John Forlines III, Duke University",Starts Jul 17,Flexible schedule,Approx. 5 hours.Learn at your own pace
Financial Analysis - Skills for Success,4.7 out of 5 stars,429 reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/financial-analysis-skills-for-success,,"Financial Data, Cost Management, Return On Investment, Financial Statement Analysis, Performance Measurement, Revenue Forecasting, Budgeting, Business Valuation, Balance Sheet, Variance Analysis, Financial Analysis, Financial Statements","Introduction to Financial Analysis - The ""Why?"" | Financial Analysis of Organizations | Financial Analysis of Scenarios and Decisions","Gies College of Business, University of Illinois, University of Illinois Urbana-Champaign",Starts Jul 17,1 month,at 10 hours. a week
IBM Data Science,4.6 out of 5 stars,145K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-data-science,,"Predictive Modeling, Feature Engineering, Data Import/Export, Unsupervised Learning, Jupyter, Generative AI, Data Visualization, Data Wrangling, Exploratory Data Analysis, Dashboard, Supervised Learning, Data Mining","What is Data Science? | Tools for Data Science | Data Science Methodology | Python for Data Science, AI & Development | Python Project for Data Science | Databases and SQL for Data Science with Python | Data Analysis with Python | Data Visualization with Python | Machine Learning with Python | Applied Data Science Capstone | Generative AI: Elevate Your Data Science Career | Data Scientist Career Guide and Interview Preparation","IBM Skills Network Team, Dr. Pooja, Abhishek Gagneja, Romeo Kienzler, Joseph Santarcangelo, Polong Lin, Alex Aklson, Rav Ahuja, Saishruthi Swaminathan, Hima Vasudevan, Azim Hirjani, Aije Egwaikhide, Yan Luo, Svetlana Levitan, Jeff Grossman",Starts Jul 17,Flexible schedule,"4 months, 10 hours. a weekLearn at your own pace"
Financial Statement Analysis,4.6 out of 5 stars,686 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/financial-statement-analysis,4 modules,"Reconciliation, Payroll, Income Statement, Equities, Sales Tax, Financial Statements, Financial Statement Analysis, Analysis, Cash Flows, Balance Sheet, Accounting, Financial Analysis",Understanding Reconciliations | How to Read Financial Statements | Analyzing Key Reports and Transactions | Application and Practice with Reconciliations and Financial Analysis,Intuit Academy Team,Starts Jul 17,Flexible schedule,Approx. 18 hours.Learn at your own pace
Financial Reporting,4.7 out of 5 stars,912 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/financial-reporting,,"Accrual Accounting, Financial Statement Analysis, Inventory Accounting, International Financial Reporting Standards, Balance Sheet, Tax Management, Accounts Receivable, Cash Flows, Financial Statements, Asset Management, Generally Accepted Accounting Principles (GAAP), Fixed Asset",Accounting Analysis I: The Role of Accounting as an Information System | Accounting Analysis I: Measurement and Disclosure of Assets | Accounting Analysis II: Measurement and Disclosure of Liabilities | Accounting Analysis II: Accounting for Liabilities and Equity,"Scott Mendoza, Gerlando Lima, University of Illinois Urbana-Champaign",Starts Jul 17,3 months,at 10 hours. a week
Introduction to Generative AI Learning Path,4.6 out of 5 stars,9.5K reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/introduction-to-generative-ai,,"Artificial Intelligence, Machine Learning, Machine Learning Methods, Governance, Organizational Effectiveness, Generative AI, Artificial Intelligence and Machine Learning (AI/ML), Ethical Standards And Conduct, Prompt Engineering, Application Development, Large Language Modeling, Decision Making",Introduction to Generative AI | Introduction to Large Language Models | Introduction to Responsible AI | Responsible AI: Applying AI Principles with Google Cloud,"Google Cloud Training, Google Cloud",Starts Jul 17,1 month,at 10 hours. a week
Advanced Data Modeling,4.3 out of 5 stars,103 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/advanced-data-modeling,4 modules,"Database Architecture and Administration, Data Warehousing, MySQL, Data Analysis, Databases, Database Design, Advanced Analytics, Database Management, MySQL Workbench, Extract, Transform, Load, Data Visualization Software, Data Modeling, Relational Databases",Data modeling and management | Data warehousing | Advanced data analytics | Model and analyze data,Taught by Meta Staff,Starts Jul 17,Flexible schedule,Approx. 18 hours.Learn at your own pace
Data Science,4.5 out of 5 stars,51K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/jhu-data-science,,"Predictive Modeling, Machine Learning, Shiny (R Package), R Programming, Statistical Hypothesis Testing, Version Control, Data Visualization, Statistical Analysis, Data Wrangling, Exploratory Data Analysis, Leaflet (Software), Data Cleansing",The Data Scientistâs Toolbox | R Programming | Getting and Cleaning Data | Exploratory Data Analysis | Reproducible Research | Statistical Inference | Regression Models | Practical Machine Learning | Developing Data Products | Data Science Capstone,"Roger D. Peng, PhD, Brian Caffo, PhD, Jeff Leek, PhD, Johns Hopkins University",Starts Jul 17,7 months,at 10 hours. a week
