課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
BigQuery Fundamentals for Teradata Professionals,N/A,N/A,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/bigquery-fundamentals-for-teradata-professionals,6 modules,"Data Warehousing, Google Cloud Platform, Teradata SQL, Data Security, Big Data, Cloud Computing Architecture, Database Design, Data Modeling, SQL, Data Import/Export, Extract, Transform, Load, Data Migration",BigQuery Architecture and Resource Provisioning | BigQuery Data Definition Model | BigQuery and Google Cloud IAM | BigQuery Data Ingestion | BigQuery Schema Design and Optimization | SQL in BigQuery,"Google Cloud Training, Google Cloud",Starts Jul 19,Flexible schedule,Learn at your own pace
"Reliability, Cloud Computing and Machine Learning",N/A,N/A,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/reliability-cloud-computing-and-machine-learning,4 modules,"Apache Hadoop, Big Data, Distributed Computing, Algorithms, Data Warehousing, Data Processing, Relational Databases, Scalability, Transaction Processing, Machine Learning, Database Systems, Cloud Computing, Database Management, Data Integrity, Disaster Recovery","Course Introduction | Transaction Management & Concurrency Control | Reliability Protocols, Data Warehousing, and Accumulo Architecture | Cloud Computing, Hadoop Ecosystem, and Machine Learning Applications","David Silberberg, Johns Hopkins University",Starts Jul 19,Flexible schedule,Learn at your own pace
GCP Computing and Storage Services,N/A,N/A,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/gcp-professional-architect-gcp-computing-and-storage-services,2 modules,"Cloud Infrastructure, Cloud Computing, Google App Engine, Disaster Recovery, Scalability, Virtual Machines, DevOps, Data Storage Technologies, Cloud Computing Architecture, Performance Tuning, Load Balancing, Cloud Storage, Google Cloud Platform, Kubernetes, Infrastructure As A Service (IaaS), Cloud Security",Compute Engine | Google Cloud Storage (GCS) and Services,,Starts Jul 19,Flexible schedule,Learn at your own pace
Advanced Oracle Database Administration,N/A,N/A,Advanced · Course · 1 - 3 Months,https://www.coursera.org/learn/packt-advanced-oracle-database-administration-5d9rn,9 modules,"Relational Databases, Data Migration, Operational Databases, Problem Management, Automation, PL/SQL, System Configuration, Oracle Databases, Database Management, Data Import/Export, Database Architecture and Administration, Database Administration, Patch Management, Software Installation, Disaster Recovery, Data Storage Technologies, Database Management Systems",Using RMAN in Multitenant Databases | More about Using RMAN | Flashback Database | Using Oracle Database Utilities | Using the Scheduler | Using ADR Command Interpreter | Applying Patches on Oracle Databases | Automatic Storage Management (ASM) | Upgrading Oracle Databases,Packt - Course Instructors,Starts Jul 19,Flexible schedule,Learn at your own pace
Data Mining for Smart Cities,N/A,N/A,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/iitr-pgc5giot-mining-of-smart-city-data-opportunities-and-challenges,8 modules,"Data-Driven Decision-Making, Regression Analysis, Exploratory Data Analysis, Supervised Learning, Machine Learning Algorithms, NumPy, Data Visualization, Anomaly Detection, Deep Learning, Unsupervised Learning, Python Programming, Data Processing, Data Cleansing, Artificial Neural Networks, Data Mining, Big Data",Getting Started with the Course | M1: Introduction to Data Mining for Smart Cities | M2: Introduction to Python Programming for Data Mining | M3: Supervised Learning | M4: Unsupervised Learning | M5: Anomaly Detection and Result Validation | M6: Advanced Data Mining Techniques | Final Project,"Dr. Dheeraj Kumar, IIT Roorkee",No Upcoming Session Available,Flexible schedule,Learn at your own pace
Comprehensive Guide to Server-Side Logic and Development,N/A,N/A,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/comprehensive-guide-server-side-logic-and-development,3 modules,"Authorization (Computing), Database Systems, Database Management, Node.JS, Server Side, Web Servers, Javascript, Web Development, Web Applications, Servers, Restful API, API Design, Databases, NoSQL, MongoDB, Full-Stack Web Development, Back-End Web Development, JavaScript Frameworks, Authentications, Application Programming Interface (API)",Introduction to Server-Side Development | Working with Databases | Building and Consuming APIs,Board Infinity,Starts Jul 19,Flexible schedule,Learn at your own pace
Strategic Product Management,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/strategic-product-management,4 modules,"Product Lifecycle Management, Technical Product Management, Data Analysis, Competitive Analysis, Design Thinking, Data Visualization Software, New Product Development, Product Development, Market Analysis, Go To Market Strategy, Product Management, Product Strategy, User Experience, Agile Methodology, Cross-Functional Collaboration, Microsoft Excel",Product Management Techniques | Market Analysis and Product Strategy | Product Development Lifecycle and Tools | Data and Tools,Board Infinity,Starts Jul 19,Flexible schedule,Learn at your own pace
투자 기술의 혁신: AI,N/A,N/A,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/invest-tech-ko,4 modules,"Machine Learning, Artificial Intelligence, Financial Trading, Artificial Intelligence and Machine Learning (AI/ML), Big Data, Wealth Management, Investment Management, Portfolio Management, Financial Analysis, Artificial Neural Networks, Analytics, FinTech, Asset Management, Investments",ê°ì | ë¡ë³´ì´ëë°ì´ì§ | ì£¼ì ì ë³ ë° ìì° ê´ë¦¬ | ë¹ ë°ì´í°,"Andrew Wu, University of Michigan",Starts Jul 19,Flexible schedule,Learn at your own pace
Crear tablas de bases de datos relacionales con SQLiteStudio,N/A,N/A,Intermediate · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/crear-tablas-de-bases-de-datos-relacionales-con-sqlitestudio,,"Data Manipulation, Query Languages, Data Integrity, Database Architecture and Administration, Databases, Relational Databases, Data Management, Database Design, Database Administration, SQL",,"Daniel David Benavides SÃ¡nchez, Coursera Project Network",,Hands-on learning,Learn more
Microsoft Power BI - The Complete Masterclass [2023 EDITION],N/A,N/A,Intermediate · Course · 3 - 6 Months,https://www.coursera.org/learn/packt-microsoft-power-bi-the-complete-masterclass-2023-edition-pv4tn,14 modules,"Statistical Visualization, Data Visualization Software, Management Reporting, Data Storytelling, Data Integration, Cloud Security, Microsoft Excel, Data Cleansing, Interactive Data Visualization, Data Manipulation, Data Analysis Expressions (DAX), Business Intelligence, Power BI",Introduction | Preparing Our Project | Data Transformation - The Query Editor | Data Transformation - Advanced | Creating a Data Model | Data Visualization | Power BI and Python | DAX - The Essentials | DAX - The CALCULATE Function | Tell a Story with Your Data - Learn to Visualize Effectively | Power BI Service - Power BI Cloud | Row-Level Security | More Data Sources | Next Steps to Improve and Stay Up-to-Date,Packt - Course Instructors,Starts Jul 19,Flexible schedule,Learn at your own pace
