課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長
Mastering AWS CDK - Coding Cloud Architectures,N/A,N/A,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/packt-mastering-aws-cdk-coding-cloud-architectures-tlyuf,12 modules,"Amazon Web Services, Software Development, Restful API, Network Administration, Amazon S3, System Configuration, Cloud Development, Amazon Elastic Compute Cloud, Cloud Applications, API Gateway, Serverless Computing, Cloud Infrastructure, Infrastructure Security, Development Environment, TypeScript",Introduction | Development Environment Setup | AWS CDK - Getting Started - Launch Your First CDK Application | AWS CDK - Deep Dive - Key Concepts | [Hands-On 1] - Build a REST API with AWS CDK | Leveraging the Construct Library | [Hands-On 2] - Real World Example - S3 Thumbnail Creation with AWS CDK | [Hands-On 3] - Real World Example - Scheduled Event Creation with AWS CDK | [Hands-On 4] - Real World Example - EC2 Instance Creation with AWS CDK | [Hands-On 5] - Real World Example: Email Notification Service with AWS CDK | [Hands-On 6] - Real World Example: ALB Creation with AWS CDK | Next Steps,Packt - Course Instructors,Starts Jul 19,Flexible schedule,Learn at your own pace
GCP Security and Networking,N/A,N/A,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/gcp-professional-architect-gcp-security-and-networking,1 module,"Network Monitoring, Encryption, Load Balancing, Cloud Computing, General Networking, Identity and Access Management, Cloud Storage, Cloud Security, Firewall, Network Architecture, Continuous Monitoring, DevOps, Google Cloud Platform, Automation, Key Management, Virtual Private Networks (VPN), Network Administration, Network Security",Identity and Security Fundamentals,,Starts Jul 19,Flexible schedule,Learn at your own pace
GKE Workload Optimization,N/A,N/A,Intermediate · Project · Less Than 2 Hours,https://www.coursera.org/projects/googlecloud-gke-workload-optimization-ssh98,,"Google Cloud Platform, Cloud Infrastructure, Configuration Management, Kubernetes, Load Balancing, Application Performance Management, Containerization, Performance Testing, DevOps",,"Google Cloud Training, Google Cloud",,Hands-on learning,Learn more
Understanding and Combining GKE Autoscaling Strategies,N/A,N/A,Intermediate · Project · Less Than 2 Hours,https://www.coursera.org/projects/googlecloud-understanding-and-combining-gke-autoscaling-strategies-amhzd,,"Capacity Management, Scalability, Cloud-Native Computing, Google Cloud Platform, Kubernetes, Cloud Infrastructure, DevOps, Performance Testing",,"Google Cloud Training, Google Cloud",,Hands-on learning,Learn more
Foundations of IT Project Management,N/A,N/A,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/packt-foundations-of-it-project-management-kh4e2,5 modules,"Cloud Infrastructure, Information Technology, Risk Management, Scrum (Software Development), Project Management, Project Portfolio Management, Compliance Management, Environmental Social And Corporate Governance (ESG), IT Security Architecture, Agile Methodology, Project Risk Management, Project Scoping, Change Control, Project Controls, IT Infrastructure, Resource Management, Waterfall Methodology, Software Development Life Cycle",What Is a Project? | IT Project Management Concepts | Project Management Security Concepts | IT Projects Frameworks and Methodologies | Project Factors,Packt - Course Instructors,Starts Jul 19,Flexible schedule,Learn at your own pace
Machine Learning Operations (MLOps): Getting Started - Español,N/A,N/A,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/mlops-fundamentals-es,4 modules,"Google Cloud Platform, CI/CD, Data Processing, Continuous Deployment, Automation, Applied Machine Learning, Scalability, DevOps, MLOps (Machine Learning Operations)",Te damos la bienvenida a Operaciones de aprendizaje automÃ¡tico (MLOps): Primeros pasos | Usa operaciones de aprendizaje automÃ¡tico | Vertex AI y MLOps en Vertex AI | Resumen,"Google Cloud Training, Google Cloud, Qwiklabs Terms of Service",Starts Jul 19,Flexible schedule,Learn at your own pace
Exploring the Lineage of Data with Cloud Data Fusion,N/A,N/A,Advanced · Project · Less Than 2 Hours,https://www.coursera.org/projects/googlecloud-exploring-the-lineage-of-data-with-cloud-data-fusion-1m9jq,,"Data Lakes, Exploratory Data Analysis, Data Pipelines, Data Transformation, Cloud Management, Data Migration, Data Management, DevOps, Data Integration, Google Cloud Platform",,"Google Cloud Training, Google Cloud",,Hands-on learning,Learn more
Kubernetes for the Absolute Beginners - Hands-On,N/A,N/A,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/packt-kubernetes-for-the-absolute-beginners-hands-on-j8pce,11 modules,"Application Deployment, Kubernetes, Microservices, Docker (Software), Microsoft Azure, Amazon Web Services, Containerization, General Networking, Cloud Platforms, Google Cloud Platform, YAML, Scalability","Introduction | Kubernetes Overview | Kubernetes Concepts | YAML Introduction | Kubernetes Concepts - Pods, ReplicaSets, Deployments | Networking in Kubernetes | Services | Microservices Architecture | Kubernetes on Cloud | Conclusion | Appendix - Setup Multi Node cluster using Kubeadm",Packt - Course Instructors,Starts Jul 19,Flexible schedule,Learn at your own pace
GitHub Actions Masterclass: From Beginner to Advanced,N/A,N/A,Beginner · Course · 3 - 6 Months,https://www.coursera.org/learn/packt-github-actions-masterclass-from-beginner-to-advanced-c9el8,19 modules,"Continuous Integration, Git (Version Control System), GitHub, Security Controls, CI/CD, Event-Driven Programming, Continuous Deployment, JavaScript Frameworks, Application Security, Containerization, Docker (Software), Development Environment, Automation, YAML",Getting Started with GitHub Actions | Setting Up Tools and Environment | Fundamentals of GitHub Actions | Understanding Workflow Triggers | Using Workflow Runners | Leveraging Third-Party Actions | Using Event Filters and Activity Types | Working with Contexts | Expressions and Variables in GitHub Actions | Working with Functions in Workflows | Managing Workflow Execution Flow | Handling Inputs and Outputs | Sharing Data with Caching and Artifacts | Using Matrices in Workflows | Working with Environments | Building Custom Actions from Scratch | Creating and Using Reusable Workflows | Handling Concurrency in Workflows | Ensuring Workflow Security,Packt - Course Instructors,Starts Jul 19,Flexible schedule,Learn at your own pace
Architecting with Google Kubernetes Engine: Production em Português Brasileiro,N/A,N/A,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/deploying-secure-kubernetes-containers-in-production-br,7 modules,"Continuous Integration, Cloud-Native Computing, Application Deployment, Role-Based Access Control (RBAC), Authentications, Cloud Security, DevOps, Kubernetes, Cloud Storage, Database Management Systems, CI/CD, Managed Services, Google Cloud Platform, Database Management, Cloud Services, Continuous Delivery, Identity and Access Management, Authorization (Computing), Data Storage",IntroduÃ§Ã£o ao curso sobre produÃ§Ã£o | Controle de acesso e seguranÃ§a no Kubernetes e no Google Kubernetes Engine | Logging e Monitoring no Google Kubernetes Engine | Como usar os serviÃ§os de armazenamento gerenciado do Google Cloud com o Google Kubernetes Engine | Como usar CI/CD com o Google Kubernetes Engine | Resumo do curso sobre produÃ§Ã£o | Recursos do curso,"Google Cloud Training, Google Cloud, Qwiklabs Terms of Service",Starts Jul 19,Flexible schedule,Learn at your own pace
