課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資
Introduction to DevSecOps,4.4 out of 5 stars,16 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/devsecops,2 modules,"DevOps, Infrastructure as Code (IaC), Continuous Integration, Secure Coding, Vulnerability Management, Security Engineering, Automation, Containerization, Application Security, CI/CD, Security Testing, Continuous Delivery, DevSecOps, Security Strategy",Understanding and Implementing DevSecOps | Leveraging Tools and Best Practices in DevSecOps,Board Infinity
Rust Programming,3.9 out of 5 stars,212 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/rust-programming,,"CI/CD, Data Pipelines, Software Testing, Development Testing, Containerization, Cloud Computing, Command-Line Interface, Generative AI, Jenkins, Rust (Programming Language), Unit Testing, Serverless Computing",Rust Fundamentals | Data Engineering with Rust | Rust for DevOps | Python and Rust with Linux Command Line Tools | Rust for Large Language Model Operations (LLMOps),"Noah Gift, Alfredo Deza, Duke University"
Machine Learning Operations (MLOps): Getting Started,4 out of 5 stars,462 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/mlops-fundamentals,4 modules,"Continuous Monitoring, Machine Learning Software, Continuous Integration, Google Cloud Platform, DevOps, Continuous Deployment, MLOps (Machine Learning Operations), Machine Learning, Automation, Software Development Methodologies",Welcome to the Machine Learning Operations (MLOps): Getting Started | Employing Machine Learning Operations | Vertex AI and MLOps on Vertex AI | Summary,"Google Cloud Training, Google Cloud, Qwiklabs Terms of Service"
Combining Scrum with Other Agile Methodologies,4.7 out of 5 stars,512 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/combining-scrum-with-other-methodologies,3 modules,"DevOps, Test Driven Development (TDD), Behavior-Driven Development, Agile Software Development, Agile Methodology, Scrum (Software Development), Kanban Principles, Continuous Integration, DevSecOps, Continuous Deployment, Virtualization, Lean Methodologies, Cross-Functional Collaboration, Workflow Management",Creating an Agile Solution with Scrum with XP | Lean Agile Solutions and Scrum | Scrum and the DevOps Methodology,Jim Sullivan
Software Developer Career Guide and Interview Preparation,4.8 out of 5 stars,281 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/software-developer-career-guide-and-interview-preparation,3 modules,"Software Development, LinkedIn, Professionalism, Problem Solving, Interviewing Skills, Verbal Communication Skills, Professional Development, Communication, Relationship Building, Technical Design",Building a Foundation | Applying and Preparing for an InterviewÂ | InterviewingÂ,IBM Skills Network Team
Containerized Applications on AWS,4.6 out of 5 stars,174 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/containerized-applications-on-aws,4 modules,"Devops Tools, Amazon CloudWatch, Amazon Web Services, Docker (Software), Scalability, Application Deployment, Containerization, Serverless Computing, YAML, Amazon Elastic Compute Cloud, Microservices, System Monitoring, Kubernetes",Week 1 | Week 2 | Week 3 | Week 4,"Morgan Willis, Russell Sayers, Amazon Web Services"
Architecting with Google Kubernetes Engine: Production,4.7 out of 5 stars,949 reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/deploying-secure-kubernetes-containers-in-production,6 modules,"Data Storage, Continuous Delivery, Application Performance Management, Authentications, Database Systems, Role-Based Access Control (RBAC), Kubernetes, CI/CD, Cloud Security, DevOps, Databases, Authorization (Computing), Google Cloud Platform, Cloud Storage, Cloud Services, Continuous Integration, Identity and Access Management",Production Course Introduction | Access Control and Security in Kubernetes and Google Kubernetes Engine | Google Kubernetes Engine Logging and Monitoring | Using Google Cloud Managed Storage Services with Google Kubernetes Engine | Using CI/CD with Google Kubernetes Engine | Production Course Summary,"Google Cloud Training, Google Cloud, Qwiklabs Terms of Service"
Full Stack Software Developer Assessment,4.7 out of 5 stars,274 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/full-stack-software-developer-assessment,2 modules,"OpenShift, Docker (Software), Web Applications, Kubernetes, Containerization, GitHub, Cloud Computing, DevOps, Server Side, Back-End Web Development, Serverless Computing, Software Development, Node.JS, Cloud-Native Computing, CI/CD, Git (Version Control System), Microservices, Web Development, Django (Web Framework), Full-Stack Web Development",Review and Exam Preparation | Assessment for Application Cloud Developer,Rav Ahuja
DataOps Methodology,4.7 out of 5 stars,55 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/ibm-data-ops-methodology,7 modules,"Business Priorities, Data-Driven Decision-Making, Metadata Management, Data Governance, Data Pipelines, Data Literacy, Data Transformation, Data Strategy, Data Quality, Data Integration, Data Modeling, Continuous Improvement Process, Sprint Planning, Sprint Retrospectives, Data Management",Establish DataOps - Prepare for operation | Establish DataOps â Optimize for operation | Iterate DataOps - Know your data | Iterate DataOps â Trust your data | Iterate DataOps â Use your data | Improve DataOps | Summary & Final Exam,Elaine Hanley
Architecting with Google Compute Engine em Português,4.8 out of 5 stars,915 reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/gcp-architecture-br,,"Application Deployment, Kubernetes, CI/CD, Containerization, Cloud Computing Architecture, Cloud Infrastructure, Google App Engine, Cloud Computing, Generative AI, Public Cloud, Cloud Applications, Microservices",Google Cloud Fundamentals: Core Infrastructure em PortuguÃªs Brasileiro | Essential Cloud Infrastructure: Foundation - PortuguÃªs Brasileiro | Essential Cloud Infrastructure: Core Services em PortuguÃªs Brasileiro | Elastic Cloud Infrastructure: Scaling and Automation em PortuguÃªs Brasileiro | Reliable Cloud Infrastructure: Design and Process em PortuguÃªs Brasileiro,"Google Cloud Training, Google Cloud"
Jenkins : Automating your delivery pipeline,4.5 out of 5 stars,330 reviews,Beginner · Guided Project · Less Than 2 Hours,https://www.coursera.org/projects/cicd-using-jenkins,,"Continuous Integration, CI/CD, Continuous Deployment, Continuous Delivery, Jenkins, DevOps",,"Anju M Dominic, Amr Essam Eldin Ramadan, Coursera Project Network"
